DATE,DEXCAUS
2014-03-01,1.109
2014-03-02,1.109
2014-03-03,1.109
2014-03-04,1.1113
2014-03-05,1.105
2014-03-06,1.0965
2014-03-07,1.1088
2014-03-08,1.1104
2014-03-09,1.1104
2014-03-10,1.1104
2014-03-11,1.1085
2014-03-12,1.113
2014-03-13,1.1059
2014-03-14,1.1087
2014-03-15,1.1052
2014-03-16,1.1052
2014-03-17,1.1052
2014-03-18,1.1089
2014-03-19,1.1177
2014-03-20,1.1251
2014-03-21,1.1191
2014-03-22,1.1218
2014-03-23,1.1218
2014-03-24,1.1218
2014-03-25,1.1176
2014-03-26,1.1143
2014-03-27,1.1056
2014-03-28,1.1066
2014-03-29,1.1053
2014-03-30,1.1053
2014-03-31,1.1053
2014-04-01,1.1026
2014-04-02,1.103
2014-04-03,1.1035
2014-04-04,1.0978
2014-04-05,1.0971
2014-04-06,1.0971
2014-04-07,1.0971
2014-04-08,1.0919
2014-04-09,1.0902
2014-04-10,1.0912
2014-04-11,1.096
2014-04-12,1.0968
2014-04-13,1.0968
2014-04-14,1.0968
2014-04-15,1.098
2014-04-16,1.1027
2014-04-17,1.0997
2014-04-18,1.1024
2014-04-19,1.102
2014-04-20,1.102
2014-04-21,1.102
2014-04-22,1.1025
2014-04-23,1.1034
2014-04-24,1.1026
2014-04-25,1.1041
2014-04-26,1.1032
2014-04-27,1.1032
2014-04-28,1.1032
2014-04-29,1.0963
2014-04-30,1.0956
2014-05-01,1.0965
2014-05-02,1.0973
2014-05-03,1.0955
2014-05-04,1.0955
2014-05-05,1.0955
2014-05-06,1.089
2014-05-07,1.0895
2014-05-08,1.0856
2014-05-09,1.0899
2014-05-10,1.0886
2014-05-11,1.0886
2014-05-12,1.0886
2014-05-13,1.0892
2014-05-14,1.0887
2014-05-15,1.0887
2014-05-16,1.0883
2014-05-17,1.0861
2014-05-18,1.0861
2014-05-19,1.0861
2014-05-20,1.09
2014-05-21,1.0935
2014-05-22,1.0897
2014-05-23,1.087
2014-05-24,1.0869
2014-05-25,1.0869
2014-05-26,1.0869
2014-05-27,1.0869
2014-05-28,1.0867
2014-05-29,1.0837
2014-05-30,1.0867
2014-05-31,1.0894
2014-06-01,1.0894
2014-06-02,1.0894
2014-06-03,1.0915
2014-06-04,1.0937
2014-06-05,1.0935
2014-06-06,1.0936
2014-06-07,1.0908
2014-06-08,1.0908
2014-06-09,1.0908
2014-06-10,1.0914
2014-06-11,1.0867
2014-06-12,1.0851
2014-06-13,1.0868
2014-06-14,1.0849
2014-06-15,1.0849
2014-06-16,1.0849
2014-06-17,1.0851
2014-06-18,1.087
2014-06-19,1.0828
2014-06-20,1.0766
2014-06-21,1.0731
2014-06-22,1.0731
