DATE,DEXSIUS
2014-03-01,1.2709
2014-03-02,1.2709
2014-03-03,1.2709
2014-03-04,1.2689
2014-03-05,1.27
2014-03-06,1.263
2014-03-07,1.2682
2014-03-08,1.2686
2014-03-09,1.2686
2014-03-10,1.2686
2014-03-11,1.2665
2014-03-12,1.2677
2014-03-13,1.2658
2014-03-14,1.2648
2014-03-15,1.2647
2014-03-16,1.2647
2014-03-17,1.2647
2014-03-18,1.2637
2014-03-19,1.2663
2014-03-20,1.2774
2014-03-21,1.2745
2014-03-22,1.2712
2014-03-23,1.2712
2014-03-24,1.2712
2014-03-25,1.2694
2014-03-26,1.2677
2014-03-27,1.2645
2014-03-28,1.2593
2014-03-29,1.2583
2014-03-30,1.2583
2014-03-31,1.2583
2014-04-01,1.2589
2014-04-02,1.2619
2014-04-03,1.2633
2014-04-04,1.2596
2014-04-05,1.2602
2014-04-06,1.2602
2014-04-07,1.2602
2014-04-08,1.2527
2014-04-09,1.2473
2014-04-10,1.2481
2014-04-11,1.2481
2014-04-12,1.2518
2014-04-13,1.2518
2014-04-14,1.2518
2014-04-15,1.2534
2014-04-16,1.2504
2014-04-17,1.2507
2014-04-18,1.2524
2014-04-19,1.2526
2014-04-20,1.2526
2014-04-21,1.2526
2014-04-22,1.2559
2014-04-23,1.257
2014-04-24,1.2583
2014-04-25,1.2563
2014-04-26,1.2566
2014-04-27,1.2566
2014-04-28,1.2566
2014-04-29,1.2551
2014-04-30,1.2553
2014-05-01,1.2525
2014-05-02,1.2539
2014-05-03,1.2499
2014-05-04,1.2499
2014-05-05,1.2499
2014-05-06,1.2472
2014-05-07,1.2485
2014-05-08,1.246
2014-05-09,1.2482
2014-05-10,1.2506
2014-05-11,1.2506
2014-05-12,1.2506
2014-05-13,1.2516
2014-05-14,1.2496
2014-05-15,1.2521
2014-05-16,1.2509
2014-05-17,1.2492
2014-05-18,1.2492
2014-05-19,1.2492
2014-05-20,1.252
2014-05-21,1.2524
2014-05-22,1.2515
2014-05-23,1.2524
2014-05-24,1.2564
2014-05-25,1.2564
2014-05-26,1.2564
2014-05-27,1.2564
2014-05-28,1.2554
2014-05-29,1.2551
2014-05-30,1.2543
2014-05-31,1.2564
2014-06-01,1.2564
2014-06-02,1.2564
2014-06-03,1.2568
2014-06-04,1.2572
2014-06-05,1.2555
2014-06-06,1.2514
2014-06-07,1.2499
2014-06-08,1.2499
2014-06-09,1.2499
2014-06-10,1.2498
2014-06-11,1.2499
2014-06-12,1.248
2014-06-13,1.2507
2014-06-14,1.2504
2014-06-15,1.2504
2014-06-16,1.2504
2014-06-17,1.2537
2014-06-18,1.2518
2014-06-19,1.2497
2014-06-20,1.2501
2014-06-21,1.2486
2014-06-22,1.2486
2014-06-23,1.2486
2014-06-24,1.2492
2014-06-25,1.2496
2014-06-26,1.25
2014-06-27,1.2497
2014-06-28,1.2465
2014-06-29,1.2465
2014-06-30,1.2465
2014-07-01,1.2454
2014-07-02,1.2472
2014-07-03,1.2465
2014-07-04,1.2466
2014-07-05,1.2466
2014-07-06,1.2466
2014-07-07,1.2466
2014-07-08,1.2431
2014-07-09,1.2418
2014-07-10,1.2419
2014-07-11,1.2409
2014-07-12,1.2412
2014-07-13,1.2412
2014-07-14,1.2412
2014-07-15,1.2437
2014-07-16,1.2425
2014-07-17,1.2427
2014-07-18,1.241
2014-07-19,1.2394
2014-07-20,1.2394
2014-07-21,1.2394
2014-07-22,1.2397
2014-07-23,1.2376
2014-07-24,1.2405
2014-07-25,1.2413
2014-07-26,1.2413
2014-07-27,1.2413
2014-07-28,1.2413
2014-07-29,1.2429
2014-07-30,1.2454
2014-07-31,1.2466
2014-08-01,1.2469
2014-08-02,1.2461
2014-08-03,1.2461
2014-08-04,1.2461
2014-08-05,1.2481
2014-08-06,1.249
2014-08-07,1.2508
2014-08-08,1.2514
2014-08-09,1.2499
2014-08-10,1.2499
2014-08-11,1.2499
2014-08-12,1.251
2014-08-13,1.2495
2014-08-14,1.245
2014-08-15,1.2455
2014-08-16,1.2444
2014-08-17,1.2444
2014-08-18,1.2444
2014-08-19,1.2471
2014-08-20,1.2497
2014-08-21,1.2493
2014-08-22,1.2491
2014-08-23,1.2502
2014-08-24,1.2502
2014-08-25,1.2502
2014-08-26,1.2497
2014-08-27,1.247
2014-08-28,1.2488
2014-08-29,1.2485
2014-08-30,1.2538
2014-08-31,1.2538
2014-09-01,1.2538
